NomeCompleto	Email	Celular	CPF	CEP	Interesse
André de Bifur Gomes Ribeiro	andrebifur@testmail.org	52127281	940.977.298-28	90460-070	Desenvolvimento de Jogos Digitais
Lucas Lima e Você	tcherreretchetche@fakemail.net	45539436	977.786.045-58	30190-924	Desenvolvimento de Jogos Digitais
carlos ribeiro da costa	carlos.ribeiro@mailinator.com	92 934845633	91874567070	60862-730	Engenharia de Software
camila teixeira	camila.teixeira@example.com	41 914519250	32804618704	58884-000	UX/UI
Mateus Almeida Cavalcanti	mateus.almeida@example.com	14347440	679289605-59	40150150	UX/UI
LUCAS ROCHA BARBALHÃO	lucas.rocha@email.com		86421039220	60025-065	Engenharia de Software
Rafaela Gróin Almeida Teixeira	rafaela.groin@fakemail.net	93396284	12390844697	59625-000	Engenharia de Software
mateus lima romualdo	mateusro@example.com	57376193	67016786374	56324640	Health Tech
RAFAELA TEIXEIRA DAS GRAÇAS BORIN	rafaela.teixeira@example.com	21 913621356	16368549076	79041-050	Ciência de Dados & Analytics
mateus araújo teixeira	mateus.araujo@fakemail.net		38541323807	57220000	Empreendedorismo
Luiza Ribeiro Jorocó	luiza.ri@example.com	85 964795652	510290758-36	65290-000	Cibersegurança
Maria Balin Pereira da Silva	mariasilva@fakemail.net	30472770	958.204.252-43	88047-400	Desenvolvimento de Jogos Digitais
thiago rabeca são joão	thiago.sj@email.com	85 916665075	978736423-05	65909-120	Cibersegurança
patrícia beatriz dias gomes	pathbdias@mailinator.com	40580366	408377452-50	41620045	Service Design
Marcos Carvalho Teixeira	marcos.cate@example.com	92 13309243	36892480109	58038020	UX/UI
CARLOS DE SOUZA	carlos.souza@fakemail.net	85 986232966	17462853060	59290-000	Engenharia de Software
Vanessa Camargo	xainiro@fakemail.net	51 931054605	671192545-96	01310-000	Cibersegurança
rafaela lima da costa	rafafaela.lima@example.com	11 74939211	310867585-01	47808155	Engenharia de Software
PATRÍCIA DE CARVALHO E LIMA	patica@email.com	906808351	473.981.246-29	64202-450	Engenharia de Software
andré e gomes batutão	andre.gomes@testmail.org		48765302702	58310000	UX/UI
LARISSA ARAÚJO MARLAIVA	larissa.mar@mailinator.com	61 37551981	975.230.084-04	64900-000	Engenharia de Software
ALINE DURIN GOMES DE CARVALHO	aline.gomes@mailinator.com	85 34910887	96546746298	66055-090	Ciência de Dados & Analytics
fernanda teixeira dos dias claros	fernanda.teix@email.com	85 945127103	23964474320	51230330	Sustentabilidade
Luiza Thiago Silva Lima	luizathsilva@testmail.org	71 930151198	69127496560	59078-430	UX/UI
Henrique Teixeira Gomes	henrique.taxa@mailinator.com	935337567	75365869656	78048-784	Ciência de Dados & Analytics
JOSÉ AUGUSTO ABABA	jose.ababa@testmail.org	41 967263412	258255810-90	65075-000	Cibersegurança
Patrícia Carlos Dias Glóin	patricia.carlos@testmail.org	976685432	308100337-71	49900000	Inteligência Artificial & Machine Learning
bruno guilherme da silva ribeiro	bruno.guilherme@email.com	41 62493912	319858197-40	49100000	Ciência de Dados & Analytics
Isabela Felipe Rocha	isarocha@example.com		596420513-54	52041200	Robótica Autônoma
JULIANA OLIVEIRA	juliana.oliveira@example.com	5804985	28753155912	58900000	UX/UI
BRUNO ROCHA RIBEIRO	bruno.rocha@fakemail.net	81 918478121	112590511-53	48903120	Desenvolvimento Web Full-Stack
Rafael de Carvalho Assunção Bofur	rafael.car.bofur@fakemail.net	36665716	267.146.678-17	70745-640	Ciência de Dados & Analytics
isabela oliveira pereira	isabela.oliveira@fakemail.net	92 13433643	768864914-58	54789300	Realidade Estendida (AR / VR / MR)
Sofia Juliana Silva	sofiajulisilva@mailinator.com	41 49652228	218055438-90	45030000	Agile
bruno leonardo dias e carvalho	bruno.leo@fakemail.net	919134331	582.625.050-00	22290-240	Desenvolvimento de Jogos Digitais
JULIANA TARIFA GOMES BOMBUR	juli.taxa@example.com	81 35533238	404.872.427-42	74125-120	Ciência de Dados & Analytics
Carlos Pereira Paraê	carlos.para@fakemail.net	954374290	003.213.317-02	29056-085	Desenvolvimento de Jogos Digitais
Pedro Dwalin Lima Ribeiro	pedro.dwalina.ribeiro@mailinator.com	1987824	390.772.870-00	69060-080	Ciência de Dados & Analytics
beatriz ribeiro silva	beatriz.ribeiro@example.com	969164650	94036713574	57995000	UX/UI
ANA DAS ARMAS PEREIRA	carlapeipei@email.com	960172054	046339595-65	49032620	DevOps
Camila Dias Chuvosos	camila.dias@testmail.org	959890524	098.615.944-56	63504-000	Engenharia de Software
Lucas Lima Almeida	lucasla@example.com	78035439	230549182-46	51030390	Internet das Coisas
lucas roque e rolou	lucas.kiss@email.com		247.248.305-46	80730-150	Desenvolvimento de Jogos Digitais
MATEUS DE OLIVEIRA	mateusol@mailinator.com	31 12620715	880138687-70	50050900	Cibersegurança
Caio Óin Pedro das Oliveira Costa	caio.oin@mailinator.com	41 902009113	339.561.284-03	69918-500	DevOps
João Thorin Oak	joao.oak@email.com	331326	083.527.418-50	63010-015	Engenharia de Software
marcos pereira parrocos	marcosmarrocos@example.com		646071453-35	55604000	Desenvolvimento de Jogos Digitais
Mateus Costa de Almeida	mateus.costa@mailinator.com	55234053	72354047959	57060372	Negócios de Plataformas e Economia de APIs
PATRÍCIA PEREIRA ORI	patricia.ori@example.com	21 21250362	779.820.631-35	76801-104	DevOps
Marcos Rafael Rocha de Pereira	marcos.pei@mailinator.com	71 908781780	796.285.021-15	64028-100	Engenharia de Software
